GSM5561685	A549 2	SRX12032383
GSM5561686	A549 3	SRX12032384
GSM5561687	A549 4	SRX12032385
GSM5561688	A549 5	SRX12032386
GSM5561689	A549 6	SRX12032387
GSM5561690	A549 7	SRX12032388
GSM5561691	A549 8	SRX12032389
GSM5561692	A549 9	SRX12032390
GSM5561693	A549 10	SRX12032391
GSM5561694	A549 11	SRX12032392
GSM5561695	A549 12	SRX12032393
GSM5561696	A549 13	SRX12032394
GSM5561697	A549 14	SRX12032395
GSM5561698	A549 15	SRX12032396
GSM5561699	A549 16	SRX12032397
GSM5561700	A549 17	SRX12032398
GSM5561701	A549 18	SRX12032399
GSM5561702	A549 19	SRX12032400
GSM5561703	A549 20	SRX12032401
GSM5561704	A549 21	SRX12032402
GSM5561705	A549 22	SRX12032403
GSM5561706	A549 23	SRX12032404
GSM5561707	A549 24	SRX12032405
GSM5561708	A549 25	SRX12032406
GSM5561709	A549 26	SRX12033239
GSM5561710	A549 27	SRX12033240
GSM5561711	A549 28	SRX12033241
GSM5561712	A549 29	SRX12033242
GSM5561713	A549 30	SRX12033243
GSM5561714	A549 31	SRX12033244
GSM5561715	A549 32	SRX12033245
GSM5561716	A549 33	SRX12033246
GSM5561717	A549 34	SRX12033247
GSM5561718	A549 35	SRX12033248
GSM5561719	A549 36	SRX12033249
GSM5561720	A549 37	SRX12033250
GSM5561721	A549 38	SRX12033251
GSM5561722	A549 39	SRX12033252
GSM5561723	A549 40	SRX12033253
GSM5561724	A549 41	SRX12033254
GSM5561725	A549 42	SRX12033255
GSM5561726	A549 43	SRX12033256
GSM5561727	A549 44	SRX12033257
GSM5561728	A549 45	SRX12033258
GSM5561729	A549 46	SRX12033259
GSM5561730	A549 47	SRX12033260
GSM5561731	A549 48	SRX12033261
GSM5561732	A549 49	SRX12033262
GSM5561733	A549 50	SRX12033287
GSM5561734	A549 51	SRX12033288
GSM5561735	A549 52	SRX12033289
GSM5561736	A549 53	SRX12033290
GSM5561737	A549 54	SRX12033291
GSM5561738	A549 55	SRX12033292
GSM5561739	A549 56	SRX12033293
GSM5561740	A549 57	SRX12033294
GSM5561741	A549 58	SRX12033295
GSM5561742	A549 59	SRX12033296
GSM5561743	A549 60	SRX12033297
GSM5561744	A549 61	SRX12033298
GSM5561745	A549 62	SRX12033299
GSM5561746	A549 63	SRX12033300
GSM5561747	A549 64	SRX12033301
GSM5561748	A549 65	SRX12033302
GSM5561749	A549 66	SRX12033303
GSM5561750	A549 67	SRX12033304
GSM5561751	A549 68	SRX12033305
GSM5561752	A549 69	SRX12033306
GSM5561753	A549 70	SRX12033307
GSM5561754	A549 71	SRX12033308
GSM5561755	A549 72	SRX12033309
GSM5561756	A549 73	SRX12033310
GSM5561757	A549 74	SRX12033335
GSM5561758	A549 75	SRX12033336
GSM5561759	A549 76	SRX12033337
GSM5561760	A549 77	SRX12033338
GSM5561761	A549 78	SRX12033339
GSM5561762	A549 79	SRX12033340
GSM5561763	A549 80	SRX12033341
GSM5561764	A549 81	SRX12033342
GSM5561765	A549 82	SRX12033343
GSM5561766	A549 83	SRX12033344
GSM5561767	A549 84	SRX12033345
GSM5561768	A549 85	SRX12033346
GSM5561769	A549 86	SRX12033347
GSM5561770	A549 87	SRX12033348
GSM5561771	A549 88	SRX12033349
GSM5561772	A549 89	SRX12033350
GSM5561773	A549 90	SRX12033351
GSM5561774	A549 91	SRX12033352
GSM5561775	A549 92	SRX12033353
GSM5561776	A549 93	SRX12033354
GSM5561777	A549 94	SRX12033355
GSM5561778	A549 95	SRX12033356
GSM5561779	A549 96	SRX12033357
GSM5561780	A549 97	SRX12033358
GSM5561781	A549 98	SRX12033359
GSM5561782	A549 99	SRX12033360
GSM5561783	A549 100	SRX12033361
GSM5561784	A549 101	SRX12033362
GSM5561785	A549 102	SRX12033363
GSM5561786	A549 103	SRX12033364
GSM5561787	A549 104	SRX12033365
GSM5561788	A549 105	SRX12033366
GSM5561789	A549 106	SRX12033367
GSM5561790	A549 107	SRX12033368
GSM5561791	A549 108	SRX12033369
GSM5561792	A549 109	SRX12033370
GSM5561793	A549 110	SRX12033371
GSM5561794	A549 111	SRX12033372
GSM5561795	A549 112	SRX12033373
GSM5561796	A549 113	SRX12033374
GSM5561797	A549 114	SRX12033375
GSM5561798	A549 115	SRX12033376
GSM5561799	A549 116	SRX12033377
GSM5561800	A549 117	SRX12033378
GSM5561801	A549 118	SRX12033379
GSM5561802	A549 119	SRX12033380
GSM5561803	A549 120	SRX12033381
GSM5561804	A549 121	SRX12033382
GSM5561805	A549 122	SRX12033407
GSM5561806	A549 123	SRX12033408
GSM5561807	A549 124	SRX12033409
GSM5561808	A549 125	SRX12033410
GSM5561809	A549 126	SRX12033411
GSM5561810	A549 127	SRX12033412
GSM5561811	A549 128	SRX12033413
GSM5561812	A549 129	SRX12033414
GSM5561813	A549 130	SRX12033415
GSM5561814	A549 131	SRX12033416
GSM5561815	A549 132	SRX12033417
GSM5561816	A549 133	SRX12033418
GSM5561817	A549 134	SRX12033419
GSM5561818	A549 135	SRX12033420
GSM5561819	A549 136	SRX12033421
GSM5561820	A549 137	SRX12033422
GSM5561821	A549 138	SRX12033423
GSM5561822	A549 139	SRX12033424
GSM5561823	A549 140	SRX12033425
GSM5561824	A549 141	SRX12033426
GSM5561825	A549 142	SRX12033427
GSM5561826	A549 143	SRX12033428
GSM5561827	A549 144	SRX12033429
GSM5561828	A549 145	SRX12033430
GSM5561829	A549 146	SRX12033455
GSM5561830	A549 147	SRX12033456
GSM5561831	A549 148	SRX12033457
GSM5561832	A549 149	SRX12033458
GSM5561833	A549 150	SRX12033459
GSM5561834	A549 151	SRX12033460
GSM5561835	A549 152	SRX12033461
GSM5561836	A549 153	SRX12033462
GSM5561837	A549 154	SRX12033463
GSM5561838	A549 155	SRX12033464
GSM5561839	A549 156	SRX12033465
GSM5561840	A549 157	SRX12033466
GSM5561841	A549 158	SRX12033467
GSM5561842	A549 159	SRX12033468
GSM5561843	A549 160	SRX12033469
GSM5561844	A549 161	SRX12033470
GSM5561845	A549 162	SRX12033471
GSM5561846	A549 163	SRX12033472
GSM5561847	A549 164	SRX12033473
GSM5561848	A549 165	SRX12033474
GSM5561849	A549 166	SRX12033475
GSM5561850	A549 167	SRX12033476
GSM5561851	A549 168	SRX12033477
GSM5561852	A549 169	SRX12033478
GSM5561853	A549 170	SRX12033503
GSM5561854	A549 171	SRX12033504
GSM5561855	A549 172	SRX12033505
GSM5561856	A549 173	SRX12033506
GSM5561857	A549 174	SRX12033507
GSM5561858	A549 175	SRX12033508
GSM5561859	A549 176	SRX12033509
GSM5561860	A549 177	SRX12033510
GSM5561861	A549 178	SRX12033511
GSM5561862	A549 179	SRX12033512
GSM5561863	A549 180	SRX12033513
GSM5561864	A549 181	SRX12033514
GSM5561865	A549 182	SRX12033515
GSM5561866	A549 183	SRX12033516
GSM5561867	A549 184	SRX12033517
GSM5561868	A549 185	SRX12033518
GSM5561869	A549 186	SRX12033519
GSM5561870	A549 187	SRX12033520
GSM5561871	A549 188	SRX12033521
GSM5561872	A549 189	SRX12033522
GSM5561873	A549 190	SRX12033523
GSM5561874	A549 191	SRX12033524
GSM5561875	A549 192	SRX12033525
GSM5561876	A549 193	SRX12033526
GSM5561877	A549 194	SRX12033551
GSM5561878	A549 195	SRX12033552
GSM5561879	A549 196	SRX12033553
GSM5561880	A549 197	SRX12033554
GSM5561881	A549 198	SRX12033555
GSM5561882	A549 199	SRX12033556
GSM5561883	A549 200	SRX12033557
GSM5561884	A549 201	SRX12033558
GSM5561885	A549 202	SRX12033559
GSM5561886	A549 203	SRX12033560
GSM5561887	A549 204	SRX12033561
GSM5561888	A549 205	SRX12033562
GSM5561889	A549 206	SRX12033563
GSM5561890	A549 207	SRX12033564
GSM5561891	A549 208	SRX12033565
GSM5561892	A549 209	SRX12033566
GSM5561893	A549 210	SRX12033567
GSM5561894	A549 211	SRX12033568
GSM5561895	A549 212	SRX12033569
GSM5561896	A549 213	SRX12033570
GSM5561897	A549 214	SRX12033571
GSM5561898	A549 215	SRX12033572
GSM5561899	A549 216	SRX12033573
GSM5561900	A549 217	SRX12033574
GSM5561901	A549 218	SRX12033599
GSM5561902	A549 219	SRX12033600
GSM5561903	A549 220	SRX12033601
GSM5561904	A549 221	SRX12033602
GSM5561905	A549 222	SRX12033603
GSM5561906	A549 223	SRX12033604
GSM5561907	A549 224	SRX12033605
GSM5561908	A549 225	SRX12033606
GSM5561909	A549 226	SRX12033607
GSM5561910	A549 227	SRX12033608
GSM5561911	A549 228	SRX12033609
GSM5561912	A549 229	SRX12033610
GSM5561913	A549 230	SRX12033611
GSM5561914	A549 231	SRX12033612
GSM5561915	A549 232	SRX12033613
GSM5561916	A549 233	SRX12033614
GSM5561917	A549 234	SRX12033615
GSM5561918	A549 235	SRX12033616
GSM5561919	A549 236	SRX12033617
GSM5561920	A549 237	SRX12033618
GSM5561921	A549 238	SRX12033619
GSM5561922	A549 239	SRX12033620
GSM5561923	A549 240	SRX12033621
GSM5561924	A549 241	SRX12033622
GSM5561925	A549 242	SRX12033647
GSM5561926	A549 243	SRX12033648
GSM5561927	A549 244	SRX12033649
GSM5561928	A549 245	SRX12033650
GSM5561929	A549 246	SRX12033651
GSM5561930	A549 247	SRX12033652
GSM5561931	A549 248	SRX12033653
GSM5561932	A549 249	SRX12033654
GSM5561933	A549 250	SRX12033655
GSM5561934	A549 251	SRX12033656
GSM5561935	A549 252	SRX12033657
GSM5561936	A549 253	SRX12033658
GSM5561937	A549 254	SRX12033659
GSM5561938	A549 255	SRX12033660
GSM5561939	A549 256	SRX12033661
GSM5561940	A549 257	SRX12033662
GSM5561941	A549 258	SRX12033663
GSM5561942	A549 259	SRX12033664
GSM5561943	A549 260	SRX12033665
GSM5561944	A549 261	SRX12033666
GSM5561945	A549 262	SRX12033667
GSM5561946	A549 263	SRX12033668
GSM5561947	A549 264	SRX12033669
GSM5561948	A549 265	SRX12033670
GSM5561949	A549 266	SRX12033695
GSM5561950	A549 267	SRX12033696
GSM5561951	A549 268	SRX12033697
GSM5561952	A549 269	SRX12033698
GSM5561953	A549 270	SRX12033699
GSM5561954	A549 271	SRX12033700
GSM5561955	A549 272	SRX12033701
GSM5561956	A549 273	SRX12033702
GSM5561957	A549 274	SRX12033703
GSM5561958	A549 275	SRX12033704
GSM5561959	A549 276	SRX12033705
GSM5561960	A549 277	SRX12033706
GSM5561961	A549 278	SRX12033707
GSM5561962	A549 279	SRX12033708
GSM5561963	A549 280	SRX12033709
GSM5561964	A549 281	SRX12033710
GSM5561965	A549 282	SRX12033711
GSM5561966	A549 283	SRX12033712
GSM5561967	A549 284	SRX12033713
GSM5561968	A549 285	SRX12033714
GSM5561969	A549 286	SRX12033715
GSM5561970	A549 287	SRX12033716
GSM5561971	A549 288	SRX12033717
GSM5561972	A549 289	SRX12033718
GSM5561973	A549 290	SRX12033743
GSM5561974	A549 291	SRX12033744
GSM5561975	A549 292	SRX12033745
GSM5561976	A549 293	SRX12033746
GSM5561977	A549 294	SRX12033747
GSM5561978	A549 295	SRX12033748
GSM5561979	A549 296	SRX12033749
GSM5561980	A549 297	SRX12033750
GSM5561981	A549 298	SRX12033751
GSM5561982	A549 299	SRX12033752
GSM5561983	A549 300	SRX12033753
GSM5561984	A549 301	SRX12033754
GSM5561985	A549 302	SRX12033755
GSM5561986	A549 303	SRX12033756
GSM5561987	A549 304	SRX12033757
GSM5561988	A549 305	SRX12033758
GSM5561989	A549 306	SRX12033759
GSM5561990	A549 307	SRX12033760
GSM5561991	A549 308	SRX12033761
GSM5561992	A549 309	SRX12033762
GSM5561993	A549 310	SRX12033763
GSM5561994	A549 311	SRX12033764
GSM5561995	A549 312	SRX12033765
GSM5561996	A549 313	SRX12033766
GSM5561997	A549 314	SRX12033767
GSM5561998	A549 315	SRX12033768
GSM5561999	A549 316	SRX12033769
GSM5562000	A549 317	SRX12033770
GSM5562001	A549 318	SRX12033771
GSM5562002	A549 319	SRX12033772
GSM5562003	A549 320	SRX12033773
GSM5562004	A549 321	SRX12033774
GSM5562005	A549 322	SRX12033775
GSM5562006	A549 323	SRX12033776
GSM5562007	A549 324	SRX12033777
GSM5562008	A549 325	SRX12033778
GSM5562009	A549 326	SRX12033779
GSM5562010	A549 327	SRX12033780
GSM5562011	A549 328	SRX12033781
GSM5562012	A549 329	SRX12033782
GSM5562013	A549 330	SRX12033783
GSM5562014	A549 331	SRX12033784
GSM5562015	A549 332	SRX12033785
GSM5562016	A549 333	SRX12033786
GSM5562017	A549 334	SRX12033787
GSM5562018	A549 335	SRX12033788
GSM5562019	A549 336	SRX12033789
GSM5562020	A549 337	SRX12033790
GSM5562021	A549 338	SRX12032407
GSM5562022	A549 339	SRX12032408
GSM5562023	A549 340	SRX12032409
GSM5562024	A549 341	SRX12032410
GSM5562025	A549 342	SRX12032411
GSM5562026	A549 343	SRX12032412
GSM5562027	A549 344	SRX12032413
GSM5562028	A549 345	SRX12032414
GSM5562029	A549 346	SRX12032415
GSM5562030	A549 347	SRX12032416
GSM5562031	A549 348	SRX12032417
GSM5562032	A549 349	SRX12032418
GSM5562033	A549 350	SRX12032419
GSM5562034	A549 351	SRX12032420
GSM5562035	A549 352	SRX12032421
GSM5562036	A549 353	SRX12032422
GSM5562037	A549 354	SRX12032423
GSM5562038	A549 355	SRX12032424
GSM5562039	A549 356	SRX12032425
GSM5562040	A549 357	SRX12032426
GSM5562041	A549 358	SRX12032427
GSM5562042	A549 359	SRX12032428
GSM5562043	A549 360	SRX12032429
GSM5562044	A549 361	SRX12032430
GSM5562045	A549 362	SRX12032431
GSM5562046	A549 363	SRX12032432
GSM5562047	A549 364	SRX12032433
GSM5562048	A549 365	SRX12032434
GSM5562049	A549 366	SRX12032435
GSM5562050	A549 367	SRX12032436
GSM5562051	A549 368	SRX12032437
GSM5562052	A549 369	SRX12032438
GSM5562053	A549 370	SRX12032439
GSM5562054	A549 371	SRX12032440
GSM5562055	A549 372	SRX12032441
GSM5562056	A549 373	SRX12032442
GSM5562057	A549 374	SRX12032443
GSM5562058	A549 375	SRX12032444
GSM5562059	A549 376	SRX12032445
GSM5562060	A549 377	SRX12032446
GSM5562061	A549 378	SRX12032447
GSM5562062	A549 379	SRX12032448
GSM5562063	A549 380	SRX12032449
GSM5562064	A549 381	SRX12032450
GSM5562065	A549 382	SRX12032451
GSM5562066	A549 383	SRX12032452
GSM5562067	A549 384	SRX12032453
GSM5562068	A549 385	SRX12032454
GSM5562069	A549 386	SRX12032503
GSM5562070	A549 387	SRX12032504
GSM5562071	A549 388	SRX12032505
GSM5562072	A549 389	SRX12032506
GSM5562073	A549 390	SRX12032507
GSM5562074	A549 391	SRX12032508
GSM5562075	Calu 1103	SRX12032509
GSM5562076	Calu 1104	SRX12032510
GSM5562077	Calu 1105	SRX12032511
GSM5562078	Calu 1106	SRX12032512
GSM5562079	Calu 1107	SRX12032513
GSM5562080	Calu 1108	SRX12032514
GSM5562081	Calu 1109	SRX12032515
GSM5562082	Calu 1110	SRX12032516
GSM5562083	Calu 1111	SRX12032517
GSM5562084	Calu 1112	SRX12032518
GSM5562085	Calu 1113	SRX12032519
GSM5562086	Calu 1114	SRX12032520
GSM5562087	Calu 1115	SRX12032521
GSM5562088	Calu 1116	SRX12032522
GSM5562089	Calu 1117	SRX12032523
GSM5562090	Calu 1118	SRX12032524
GSM5562091	Calu 1119	SRX12032525
GSM5562092	Calu 1120	SRX12032526
GSM5562093	Calu 1121	SRX12032575
GSM5562094	Calu 1122	SRX12032576
GSM5562095	Calu 1123	SRX12032577
GSM5562096	Calu 1124	SRX12032578
GSM5562097	Calu 1125	SRX12032579
GSM5562098	Calu 1126	SRX12032580
GSM5562099	Calu 1127	SRX12032581
GSM5562100	Calu 1128	SRX12032582
GSM5562101	Calu 1129	SRX12032583
GSM5562102	Calu 1130	SRX12032584
GSM5562103	Calu 1131	SRX12032585
GSM5562104	Calu 1132	SRX12032586
GSM5562105	Calu 1133	SRX12032587
GSM5562106	Calu 1134	SRX12032588
GSM5562107	Calu 1135	SRX12032589
GSM5562108	Calu 1136	SRX12032590
GSM5562109	Calu 1137	SRX12032591
GSM5562110	Calu 1138	SRX12032592
GSM5562111	Calu 1139	SRX12032593
GSM5562112	Calu 1140	SRX12032594
GSM5562113	Calu 1141	SRX12032595
GSM5562114	Calu 1142	SRX12032596
GSM5562115	Calu 1143	SRX12032597
GSM5562116	Calu 1144	SRX12032598
GSM5562117	Calu 1145	SRX12032623
GSM5562118	Calu 1146	SRX12032624
GSM5562119	Calu 1147	SRX12032625
GSM5562120	Calu 1148	SRX12032626
GSM5562121	Calu 1149	SRX12032627
GSM5562122	Calu 1150	SRX12032628
GSM5562123	Calu 1151	SRX12032629
GSM5562124	Calu 1152	SRX12032630
GSM5562125	Calu 1153	SRX12032631
GSM5562126	Calu 1154	SRX12032632
GSM5562127	Calu 1155	SRX12032633
GSM5562128	Calu 1156	SRX12032634
GSM5562129	Calu 1157	SRX12032635
GSM5562130	Calu 1158	SRX12032636
GSM5562131	Calu 1159	SRX12032637
GSM5562132	Calu 1160	SRX12032638
GSM5562133	Calu 1161	SRX12032639
GSM5562134	Calu 1162	SRX12032640
GSM5562135	Calu 1163	SRX12032641
GSM5562136	Calu 1164	SRX12032642
GSM5562137	Calu 1165	SRX12032643
GSM5562138	Calu 1166	SRX12032644
GSM5562139	Calu 1167	SRX12032645
GSM5562140	Calu 1168	SRX12032646
GSM5562141	Calu 1169	SRX12032671
GSM5562142	Calu 1170	SRX12032672
GSM5562143	Calu 1171	SRX12032673
GSM5562144	Calu 1172	SRX12032674
GSM5562145	Calu 1173	SRX12032675
GSM5562146	Calu 1174	SRX12032676
GSM5562147	Calu 1175	SRX12032677
GSM5562148	Calu 1176	SRX12032678
GSM5562149	Calu 1177	SRX12032679
GSM5562150	Calu 1178	SRX12032680
GSM5562151	Calu 1179	SRX12032681
GSM5562152	Calu 1180	SRX12032682
GSM5562153	Calu 1181	SRX12032683
GSM5562154	Calu 1182	SRX12032684
GSM5562155	Calu 1183	SRX12032685
GSM5562156	Calu 1184	SRX12032686
GSM5562157	Calu 1185	SRX12032687
GSM5562158	Calu 1186	SRX12032688
