srx_id	srr_id
SRX12032383	SRR15739641
SRX12032384	SRR15739642
SRX12032385	SRR15739643
SRX12032386	SRR15739644
SRX12032387	SRR15739645
SRX12032388	SRR15739646
SRX12032389	SRR15739647
SRX12032390	SRR15739648
SRX12032391	SRR15739649
SRX12032392	SRR15739650
SRX12032393	SRR15739651
SRX12032394	SRR15739652
SRX12032395	SRR15739653
SRX12032396	SRR15739654
SRX12032397	SRR15739655
SRX12032398	SRR15739656
SRX12032399	SRR15739657
SRX12032400	SRR15739658
SRX12032401	SRR15739659
SRX12032402	SRR15739660
SRX12032403	SRR15739661
SRX12032404	SRR15739662
SRX12032405	SRR15739663
SRX12032406	SRR15739664
SRX12033239	SRR15739665
SRX12033240	SRR15739666
SRX12033241	SRR15739667
SRX12033242	SRR15739668
SRX12033243	SRR15739669
SRX12033244	SRR15739670
SRX12033245	SRR15739671
SRX12033246	SRR15739672
SRX12033247	SRR15739673
SRX12033248	SRR15739674
SRX12033249	SRR15739675
SRX12033250	SRR15739676
SRX12033251	SRR15739677
SRX12033252	SRR15739678
SRX12033253	SRR15739679
SRX12033254	SRR15739680
SRX12033255	SRR15739681
SRX12033256	SRR15739682
SRX12033257	SRR15739683
SRX12033258	SRR15739684
SRX12033259	SRR15739685
SRX12033260	SRR15739686
SRX12033261	SRR15739687
SRX12033262	SRR15739688
SRX12033287	SRR15739689
SRX12033288	SRR15739690
SRX12033289	SRR15739691
SRX12033290	SRR15739692
SRX12033291	SRR15739693
SRX12033292	SRR15739694
SRX12033293	SRR15739695
SRX12033294	SRR15739696
SRX12033295	SRR15739697
SRX12033296	SRR15739698
SRX12033297	SRR15739699
SRX12033298	SRR15739700
SRX12033299	SRR15739701
SRX12033300	SRR15739702
SRX12033301	SRR15739703
SRX12033302	SRR15739704
SRX12033303	SRR15739705
SRX12033304	SRR15739706
SRX12033305	SRR15739707
SRX12033306	SRR15739708
SRX12033307	SRR15739709
SRX12033308	SRR15739710
SRX12033309	SRR15739711
SRX12033310	SRR15739712
SRX12033335	SRR15739713
SRX12033336	SRR15739714
SRX12033337	SRR15739715
SRX12033338	SRR15739716
SRX12033339	SRR15739717
SRX12033340	SRR15739718
SRX12033341	SRR15739719
SRX12033342	SRR15739720
SRX12033343	SRR15739721
SRX12033344	SRR15739722
SRX12033345	SRR15739723
SRX12033346	SRR15739724
SRX12033347	SRR15739725
SRX12033348	SRR15739726
SRX12033349	SRR15739727
SRX12033350	SRR15739728
SRX12033351	SRR15739729
SRX12033352	SRR15739730
SRX12033353	SRR15739731
SRX12033354	SRR15739732
SRX12033355	SRR15739733
SRX12033356	SRR15739734
SRX12033357	SRR15739735
SRX12033358	SRR15739736
SRX12033359	SRR15739737
SRX12033360	SRR15739738
SRX12033361	SRR15739739
SRX12033362	SRR15739740
SRX12033363	SRR15739741
SRX12033364	SRR15739742
SRX12033365	SRR15739743
SRX12033366	SRR15739744
SRX12033367	SRR15739745
SRX12033368	SRR15739746
SRX12033369	SRR15739747
SRX12033370	SRR15739748
SRX12033371	SRR15739749
SRX12033372	SRR15739750
SRX12033373	SRR15739751
SRX12033374	SRR15739752
SRX12033375	SRR15739753
SRX12033376	SRR15739754
SRX12033377	SRR15739755
SRX12033378	SRR15739756
SRX12033379	SRR15739757
SRX12033380	SRR15739758
SRX12033381	SRR15739759
SRX12033382	SRR15739760
SRX12033407	SRR15739761
SRX12033408	SRR15739762
SRX12033409	SRR15739763
SRX12033410	SRR15739764
SRX12033411	SRR15739765
SRX12033412	SRR15739766
SRX12033413	SRR15739767
SRX12033414	SRR15739768
SRX12033415	SRR15739769
SRX12033416	SRR15739770
SRX12033417	SRR15739771
SRX12033418	SRR15739772
SRX12033419	SRR15739773
SRX12033420	SRR15739774
SRX12033421	SRR15739775
SRX12033422	SRR15739776
SRX12033423	SRR15739777
SRX12033424	SRR15739778
SRX12033425	SRR15739779
SRX12033426	SRR15739780
SRX12033427	SRR15739781
SRX12033428	SRR15739782
SRX12033429	SRR15739783
SRX12033430	SRR15739784
SRX12033455	SRR15739785
SRX12033456	SRR15739786
SRX12033457	SRR15739787
SRX12033458	SRR15739788
SRX12033459	SRR15739789
SRX12033460	SRR15739790
SRX12033461	SRR15739791
SRX12033462	SRR15739792
SRX12033463	SRR15739793
SRX12033464	SRR15739794
SRX12033465	SRR15739795
SRX12033466	SRR15739796
SRX12033467	SRR15739797
SRX12033468	SRR15739798
SRX12033469	SRR15739799
SRX12033470	SRR15739800
SRX12033471	SRR15739801
SRX12033472	SRR15739802
SRX12033473	SRR15739803
SRX12033474	SRR15739804
SRX12033475	SRR15739805
SRX12033476	SRR15739806
SRX12033477	SRR15739807
SRX12033478	SRR15739808
SRX12033503	SRR15739809
SRX12033504	SRR15739810
SRX12033505	SRR15739811
SRX12033506	SRR15739812
SRX12033507	SRR15739813
SRX12033508	SRR15739814
SRX12033509	SRR15739815
SRX12033510	SRR15739816
SRX12033511	SRR15739817
SRX12033512	SRR15739818
SRX12033513	SRR15739819
SRX12033514	SRR15739820
SRX12033515	SRR15739821
SRX12033516	SRR15739822
SRX12033517	SRR15739823
SRX12033518	SRR15739824
SRX12033519	SRR15739825
SRX12033520	SRR15739826
SRX12033521	SRR15739827
SRX12033522	SRR15739828
SRX12033523	SRR15739829
SRX12033524	SRR15739830
SRX12033525	SRR15739831
SRX12033526	SRR15739832
SRX12033551	SRR15739833
SRX12033552	SRR15739834
SRX12033553	SRR15739835
SRX12033554	SRR15739836
SRX12033555	SRR15739837
SRX12033556	SRR15739838
SRX12033557	SRR15739839
SRX12033558	SRR15739840
SRX12033559	SRR15739841
SRX12033560	SRR15739842
SRX12033561	SRR15739843
SRX12033562	SRR15739844
SRX12033563	SRR15739845
SRX12033564	SRR15739846
SRX12033565	SRR15739847
SRX12033566	SRR15739848
SRX12033567	SRR15739849
