sample_id	cell_line
SRR15739641	A549 2
SRR15739642	A549 3
SRR15739643	A549 4
SRR15739644	A549 5
SRR15739645	A549 6
SRR15739646	A549 7
SRR15739647	A549 8
SRR15739648	A549 9
SRR15739649	A549 10
SRR15739650	A549 11
SRR15739651	A549 12
SRR15739652	A549 13
SRR15739653	A549 14
SRR15739654	A549 15
SRR15739655	A549 16
SRR15739656	A549 17
SRR15739657	A549 18
SRR15739658	A549 19
SRR15739659	A549 20
SRR15739660	A549 21
SRR15739661	A549 22
SRR15739662	A549 23
SRR15739663	A549 24
SRR15739664	A549 25
SRR15739665	A549 26
SRR15739666	A549 27
SRR15739667	A549 28
SRR15739668	A549 29
SRR15739669	A549 30
SRR15739670	A549 31
SRR15739671	A549 32
SRR15739672	A549 33
SRR15739673	A549 34
SRR15739674	A549 35
SRR15739675	A549 36
SRR15739676	A549 37
SRR15739677	A549 38
SRR15739678	A549 39
SRR15739679	A549 40
SRR15739680	A549 41
SRR15739681	A549 42
SRR15739682	A549 43
SRR15739683	A549 44
SRR15739684	A549 45
SRR15739685	A549 46
SRR15739686	A549 47
SRR15739687	A549 48
SRR15739688	A549 49
SRR15739689	A549 50
SRR15739690	A549 51
SRR15739691	A549 52
SRR15739692	A549 53
SRR15739693	A549 54
SRR15739694	A549 55
SRR15739695	A549 56
SRR15739696	A549 57
SRR15739697	A549 58
SRR15739698	A549 59
SRR15739699	A549 60
SRR15739700	A549 61
SRR15739701	A549 62
SRR15739702	A549 63
SRR15739703	A549 64
SRR15739704	A549 65
SRR15739705	A549 66
SRR15739706	A549 67
SRR15739707	A549 68
SRR15739708	A549 69
SRR15739709	A549 70
SRR15739710	A549 71
SRR15739711	A549 72
SRR15739712	A549 73
SRR15739713	A549 74
SRR15739714	A549 75
SRR15739715	A549 76
SRR15739716	A549 77
SRR15739717	A549 78
SRR15739718	A549 79
SRR15739719	A549 80
SRR15739720	A549 81
SRR15739721	A549 82
SRR15739722	A549 83
SRR15739723	A549 84
SRR15739724	A549 85
SRR15739725	A549 86
SRR15739726	A549 87
SRR15739727	A549 88
SRR15739728	A549 89
SRR15739729	A549 90
SRR15739730	A549 91
SRR15739731	A549 92
SRR15739732	A549 93
SRR15739733	A549 94
SRR15739734	A549 95
SRR15739735	A549 96
SRR15739736	A549 97
SRR15739737	A549 98
SRR15739738	A549 99
SRR15739739	A549 100
SRR15739740	A549 101
SRR15739741	A549 102
SRR15739742	A549 103
SRR15739743	A549 104
SRR15739744	A549 105
SRR15739745	A549 106
SRR15739746	A549 107
SRR15739747	A549 108
SRR15739748	A549 109
SRR15739749	A549 110
SRR15739750	A549 111
SRR15739751	A549 112
SRR15739752	A549 113
SRR15739753	A549 114
SRR15739754	A549 115
SRR15739755	A549 116
SRR15739756	A549 117
SRR15739757	A549 118
SRR15739758	A549 119
SRR15739759	A549 120
SRR15739760	A549 121
SRR15739761	A549 122
SRR15739762	A549 123
SRR15739763	A549 124
SRR15739764	A549 125
SRR15739765	A549 126
SRR15739766	A549 127
SRR15739767	A549 128
SRR15739768	A549 129
SRR15739769	A549 130
SRR15739770	A549 131
SRR15739771	A549 132
SRR15739772	A549 133
SRR15739773	A549 134
SRR15739774	A549 135
SRR15739775	A549 136
SRR15739776	A549 137
SRR15739777	A549 138
SRR15739778	A549 139
SRR15739779	A549 140
SRR15739780	A549 141
SRR15739781	A549 142
SRR15739782	A549 143
SRR15739783	A549 144
SRR15739784	A549 145
SRR15739785	A549 146
SRR15739786	A549 147
SRR15739787	A549 148
SRR15739788	A549 149
SRR15739789	A549 150
SRR15739790	A549 151
SRR15739791	A549 152
SRR15739792	A549 153
SRR15739793	A549 154
SRR15739794	A549 155
SRR15739795	A549 156
SRR15739796	A549 157
SRR15739797	A549 158
SRR15739798	A549 159
SRR15739799	A549 160
SRR15739800	A549 161
SRR15739801	A549 162
SRR15739802	A549 163
SRR15739803	A549 164
SRR15739804	A549 165
SRR15739805	A549 166
SRR15739806	A549 167
SRR15739807	A549 168
SRR15739808	A549 169
SRR15739809	A549 170
SRR15739810	A549 171
SRR15739811	A549 172
SRR15739812	A549 173
SRR15739813	A549 174
SRR15739814	A549 175
SRR15739815	A549 176
SRR15739816	A549 177
SRR15739817	A549 178
SRR15739818	A549 179
SRR15739819	A549 180
SRR15739820	A549 181
SRR15739821	A549 182
SRR15739822	A549 183
SRR15739823	A549 184
SRR15739824	A549 185
SRR15739825	A549 186
SRR15739826	A549 187
SRR15739827	A549 188
SRR15739828	A549 189
SRR15739829	A549 190
SRR15739830	A549 191
SRR15739831	A549 192
SRR15739832	A549 193
SRR15739833	A549 194
SRR15739834	A549 195
SRR15739835	A549 196
SRR15739836	A549 197
SRR15739837	A549 198
SRR15739838	A549 199
SRR15739839	A549 200
SRR15739840	A549 201
SRR15739841	A549 202
SRR15739842	A549 203
SRR15739843	A549 204
SRR15739844	A549 205
SRR15739845	A549 206
SRR15739846	A549 207
SRR15739847	A549 208
SRR15739848	A549 209
SRR15739849	A549 210
SRR15739850	A549 211
SRR15739851	A549 212
SRR15739852	A549 213
SRR15739853	A549 214
SRR15739854	A549 215
SRR15739855	A549 216
SRR15739856	A549 217
SRR15739857	A549 218
SRR15739858	A549 219
SRR15739859	A549 220
SRR15739860	A549 221
SRR15739861	A549 222
SRR15739862	A549 223
SRR15739863	A549 224
SRR15739864	A549 225
SRR15739865	A549 226
SRR15739866	A549 227
SRR15739867	A549 228
SRR15739868	A549 229
SRR15739869	A549 230
SRR15739870	A549 231
SRR15739871	A549 232
SRR15739872	A549 233
SRR15739873	A549 234
SRR15739874	A549 235
SRR15739875	A549 236
SRR15739876	A549 237
SRR15739877	A549 238
SRR15739878	A549 239
SRR15739879	A549 240
SRR15739880	A549 241
SRR15739881	A549 242
SRR15739882	A549 243
SRR15739883	A549 244
SRR15739884	A549 245
SRR15739885	A549 246
SRR15739886	A549 247
SRR15739887	A549 248
SRR15739888	A549 249
SRR15739889	A549 250
SRR15739890	A549 251
SRR15739891	A549 252
SRR15739892	A549 253
SRR15739893	A549 254
SRR15739894	A549 255
SRR15739895	A549 256
SRR15739896	A549 257
SRR15739897	A549 258
SRR15739898	A549 259
SRR15739899	A549 260
SRR15739900	A549 261
SRR15739901	A549 262
SRR15739902	A549 263
SRR15739903	A549 264
SRR15739904	A549 265
SRR15739905	A549 266
SRR15739906	A549 267
SRR15739907	A549 268
SRR15739908	A549 269
SRR15739909	A549 270
SRR15739910	A549 271
SRR15739911	A549 272
SRR15739912	A549 273
SRR15739913	A549 274
SRR15739914	A549 275
SRR15739915	A549 276
SRR15739916	A549 277
SRR15739917	A549 278
SRR15739918	A549 279
SRR15739919	A549 280
SRR15739920	A549 281
SRR15739921	A549 282
SRR15739922	A549 283
SRR15739923	A549 284
SRR15739924	A549 285
SRR15739925	A549 286
SRR15739926	A549 287
SRR15739927	A549 288
SRR15739928	A549 289
SRR15739929	A549 290
SRR15739930	A549 291
SRR15739931	A549 292
SRR15739932	A549 293
SRR15739933	A549 294
SRR15739934	A549 295
SRR15739935	A549 296
SRR15739936	A549 297
SRR15739937	A549 298
SRR15739938	A549 299
SRR15739939	A549 300
SRR15739940	A549 301
SRR15739941	A549 302
SRR15739942	A549 303
SRR15739943	A549 304
SRR15739944	A549 305
SRR15739945	A549 306
SRR15739946	A549 307
SRR15739947	A549 308
SRR15739948	A549 309
SRR15739949	A549 310
SRR15739950	A549 311
SRR15739951	A549 312
SRR15739952	A549 313
SRR15739953	A549 314
SRR15739954	A549 315
SRR15739955	A549 316
SRR15739956	A549 317
SRR15739957	A549 318
SRR15739958	A549 319
SRR15739959	A549 320
SRR15739960	A549 321
SRR15739961	A549 322
SRR15739962	A549 323
SRR15739963	A549 324
SRR15739964	A549 325
SRR15739965	A549 326
SRR15739966	A549 327
SRR15739967	A549 328
SRR15739968	A549 329
SRR15739969	A549 330
SRR15739970	A549 331
SRR15739971	A549 332
SRR15739972	A549 333
SRR15739973	A549 334
SRR15739974	A549 335
SRR15739975	A549 336
SRR15739976	A549 337
SRR15739977	A549 338
SRR15739978	A549 339
SRR15739979	A549 340
SRR15739980	A549 341
SRR15739981	A549 342
SRR15739982	A549 343
SRR15739983	A549 344
SRR15739984	A549 345
SRR15739985	A549 346
SRR15739986	A549 347
SRR15739987	A549 348
SRR15739988	A549 349
SRR15739989	A549 350
SRR15739990	A549 351
SRR15739991	A549 352
SRR15739992	A549 353
SRR15739993	A549 354
SRR15739994	A549 355
SRR15739995	A549 356
SRR15739996	A549 357
SRR15739997	A549 358
SRR15739998	A549 359
SRR15739999	A549 360
SRR15740000	A549 361
SRR15740001	A549 362
SRR15740002	A549 363
SRR15740003	A549 364
SRR15740004	A549 365
SRR15740005	A549 366
SRR15740006	A549 367
SRR15740007	A549 368
SRR15740008	A549 369
SRR15740009	A549 370
SRR15740010	A549 371
SRR15740011	A549 372
SRR15740012	A549 373
SRR15740013	A549 374
SRR15740014	A549 375
SRR15740015	A549 376
SRR15740016	A549 377
SRR15740017	A549 378
SRR15740018	A549 379
SRR15740019	A549 380
SRR15740020	A549 381
SRR15740021	A549 382
SRR15740022	A549 383
SRR15740023	A549 384
SRR15740024	A549 385
SRR15740025	A549 386
SRR15740026	A549 387
SRR15740027	A549 388
SRR15740028	A549 389
SRR15740029	A549 390
SRR15740030	A549 391
SRR15740031	Calu 1103
SRR15740032	Calu 1104
SRR15740033	Calu 1105
SRR15740034	Calu 1106
